catalog_id,artist,title,price,quantity
AP12214,Daz Dillinger,Public Enemiez,0.00 ,10
AP12215,Daz Dillinger,Matter Of Dayz,0.00 ,9
AP12216,Dpg,Keep On Ridin,0.00 ,10
AP12218,Dpg,Who Ride Wit Us Volume 4,0.00 ,10
AP12057,Ese Lil Joker,Most Wanted,0.00 ,10
AP12078,Lil Blacky & Lil Sicko,Southland Ballin,0.00 ,5
AP10183,Damafiamu,Damuzik,0.00 ,41
AP12184,Damafiamu,Bleedin The Block,0.00 ,43
AP12188,Damafiamu,The Cherry Chuck Gang,0.00 ,31
AP14028,Damafiamu ,Tha Linckolns - Gods Green Earth,0.00 ,18
AP12187,Black Mikey,Premeditated Music,0.00 ,41
AP12189,Bossman Hogg,Hoggs Breath,0.00 ,52
AP12192,Young Reef,Red October,0.00 ,48
AP10035,Don Diego  ,Red Everything,0.00 ,47
AP12013,YG HOOTIE ,RED ZEPPLIN,0.00 ,80
AP40022,YG HOOTIE ,FONK LOVE,0.00 ,27
AP14019,CLACC2STA,"DRUGZ, GUNZ & ROSEZ",0.00 ,11
AP14018,AUTOMACC,CALL OF DUTY,0.00 ,28
AP14011,The Regime,The Last Dragon,0.00 ,2
AP14101,J. Stalin ,Down To The Wire,0.00 ,1
AP14102,Stevie Joe,Live On The Wire,0.00 ,3
AP12005,Beeda Weeda,"Mack'n, Trap'n & Rap'n Vol. 2",0.00 ,20
AP14057,The Hustlers Club,Connected Inc,0.00 ,9
AP14100,Lil Coner,Day Of The Dead,0.00 ,12
AP120091,Lee Majors,The Six Million Dollar Man,0.00 ,5
AP12012,Black C,The City Of Gods,0.00 ,4
AP12011,Black C,70s Baby,0.00 ,3
AP12010,Black C,Still Ruthless,0.00 ,2
AP14014,Dean Green ,What I'm Saying Is...,0.00 ,4
AP12006,Lee Majors,D-Boy Muzik,0.00 ,2
AP12007,Lee Majors,The Gobots 2,0.00 ,1
AP14013,Lee Majors,What Mobsters Do...,0.00 ,5
AP14012,Lee Majors and Boss Tone,Next Day Air,0.00 ,5
AP11025,Lee Majors,Money On My Mind,0.00 ,4
AP120090,Lee Majors,Ace Of Cake 3: The Kush Pack,0.00 ,5
AP14071,PHILTHY RICH ,NOT ENOUGH REAL N****S LEFT 2,0.00 ,31
AP14021,MITCHY SLICK ,TRIGGERATION STATION,0.00 ,9
AP14099,MITCHY SLICK ,FEET MATCH THE PAINT,0.00 ,16
AP13057,Lil Spank Booty,Early Release,0.00 ,18
AP14106,J. Stalin ,MIRACLE & NIGHTMARE ON 10TH STREET,0.00 ,0
